repeat,state,mean_plddt,min_plddt,max_plddt,residues
1,relaxed,94.59799485861183,63.6,98.88,389
2,relaxed,94.68884318766067,63.8,98.88,389
3,relaxed,94.40966580976864,63.1,98.88,389
4,relaxed,94.54424164524421,63.54,98.88,389
5,relaxed,94.65593830334191,63.16,98.88,389
6,relaxed,94.5938560411311,64.11,98.89,389
7,relaxed,94.54359897172236,63.05,98.89,389
8,relaxed,94.59303341902314,63.56,98.88,389
9,relaxed,94.78871465295629,63.6,98.88,389
10,relaxed,94.61676092544987,63.24,98.87,389
11,relaxed,94.71370179948586,64.08,98.88,389
12,relaxed,94.74125964010283,63.15,98.88,389
13,relaxed,95.25143958868894,62.95,98.89,389
14,relaxed,95.06804627249358,63.94,98.9,389
15,relaxed,94.86012853470436,53.27,98.88,389
16,relaxed,94.8871208226221,63.66,98.89,389
17,relaxed,94.83390745501285,63.11,98.88,389
18,relaxed,94.99755784061698,63.35,98.89,389
19,relaxed,94.87578406169666,64.18,98.9,389
20,relaxed,94.66285347043701,63.33,98.89,389
21,relaxed,94.93624678663238,62.96,98.89,389
22,relaxed,94.70012853470436,63.51,98.88,389
23,relaxed,94.37971722365039,42.15,98.89,389
24,relaxed,94.7029562982005,63.7,98.89,389
25,relaxed,94.90655526992288,64.24,98.89,389
26,relaxed,95.02668380462724,63.78,98.9,389
27,relaxed,94.70041131105398,64.23,98.89,389
28,relaxed,95.01807197943444,63.45,98.89,389
29,relaxed,94.69215938303341,63.88,98.89,389
30,relaxed,94.89254498714652,63.61,98.88,389
31,relaxed,94.42138817480719,36.57,98.88,389
32,relaxed,94.87984575835476,63.92,98.89,389
33,relaxed,94.55182519280207,63.41,98.87,389
34,relaxed,94.70239074550129,63.79,98.88,389
35,relaxed,94.76074550128534,62.7,98.88,389
36,relaxed,94.6813881748072,63.6,98.88,389
37,relaxed,94.99329048843188,63.61,98.89,389
38,relaxed,94.96313624678665,63.97,98.89,389
39,relaxed,94.57825192802058,63.33,98.88,389
40,relaxed,94.9618766066838,63.73,98.89,389
41,relaxed,94.66655526992288,63.81,98.88,389
42,relaxed,94.84023136246786,62.94,98.88,389
43,relaxed,94.95778920308484,46.23,98.9,389
44,relaxed,94.75403598971722,63.61,98.88,389
45,relaxed,94.50591259640103,63.73,98.88,389
46,relaxed,94.66123393316195,63.1,98.88,389
47,relaxed,94.93557840616967,64.13,98.88,389
48,relaxed,95.20203084832904,63.78,98.9,389
49,relaxed,94.73568123393316,64.12,98.87,389
50,relaxed,95.12411311053984,63.16,98.89,389
51,relaxed,94.58503856041132,47.46,98.89,389
52,relaxed,94.29249357326478,46.67,98.88,389
53,relaxed,94.80421593830333,63.77,98.89,389
54,relaxed,94.71190231362468,44.63,98.88,389
55,relaxed,94.63904884318765,64.0,98.89,389
56,relaxed,94.55614395886889,62.91,98.88,389
57,relaxed,94.78413881748072,63.29,98.88,389
58,relaxed,94.96673521850899,63.74,98.88,389
59,relaxed,94.61714652956299,64.03,98.88,389
60,relaxed,94.78794344473008,63.9,98.89,389
61,relaxed,94.30349614395887,45.1,98.88,389
62,relaxed,94.39768637532133,48.79,98.88,389
63,relaxed,94.73681233933162,64.05,98.89,389
64,relaxed,95.00154241645244,62.79,98.89,389
65,relaxed,94.64858611825194,46.5,98.88,389
66,relaxed,94.84804627249358,63.37,98.88,389
67,relaxed,94.70030848329048,63.77,98.88,389
68,relaxed,94.65313624678663,63.93,98.88,389
