target,group,feature,mapped_residues,mae,rmse,max_absolute_error
4BP8-A,BRI,x(AN),661,0.013152798789712566,0.016520330847661257,0.05500000000000016
4BP8-A,BRI,x(AC),661,0.0543804841149773,0.06956658289272695,0.311
4BP8-A,BRI,y(AC),661,0.021527231467473536,0.02868706029099503,0.14850000000000008
4BP8-A,BRI,x(N),661,0.27245537065052955,0.4933117629465388,2.069
4BP8-A,BRI,y(N),661,0.13389863842662633,0.2306574517775534,1.7515
4BP8-A,BRI,z(N),661,0.3165885022692889,0.4885128115205037,1.9754999999999998
4BP8-A,BRI,x(A),661,0.12515885022692888,0.16196889935118655,0.633
4BP8-A,BRI,y(A),661,0.06491906202723147,0.13381999702447633,2.122
4BP8-A,BRI,z(A),661,0.15380181543116492,0.21014409363760753,1.476
4BP8-A,BRI,x(C),661,0.2887269288956127,0.45801454823989474,2.662
4BP8-A,BRI,y(C),661,0.22312934947049923,0.30411482436638115,1.809
4BP8-A,BRI,z(C),661,0.35064674735249624,0.606713802421217,2.8465
4BP8-A,LAI,length(N),661,0.009519667170953108,0.07202890399409126,1.839
4BP8-A,LAI,length(A),661,0.01314069591527989,0.016503861923694393,0.05449999999999999
4BP8-A,LAI,length(C),661,0.013570347957639946,0.01712011494864347,0.05699999999999994
4BP8-A,LAI,angle(N),661,2.7450605143721636,3.4388510080655172,20.304999999999993
4BP8-A,LAI,angle(A),661,2.143441754916793,2.7452679200947516,12.470000000000013
4BP8-A,LAI,angle(C),661,1.5405446293494705,1.9231663762507134,9.260000000000005
4BP8-A,BTI,tau(NA),661,22.03463993180152,35.81211547056256,179.9351134527867
4BP8-A,BTI,tau(AC),661,25.073784755174927,43.116511431478976,174.5034275056941
4BP8-A,BTI,tau(CN),660,8.122196223848398,11.567897743836394,123.7628524120406
