target,group,feature,mapped_residues,mae,rmse,max_absolute_error
7DSQ-B,BRI,x(AN),464,0.00935560344827587,0.011853633227397218,0.04700000000000015
7DSQ-B,BRI,x(AC),464,0.03765086206896551,0.05443296058709154,0.25100000000000006
7DSQ-B,BRI,y(AC),464,0.017241379310344834,0.02307754917364644,0.09549999999999992
7DSQ-B,BRI,x(N),464,0.20922090517241382,0.38968351092308845,2.0789999999999997
7DSQ-B,BRI,y(N),464,0.0973125,0.17645955688348886,1.05
7DSQ-B,BRI,z(N),464,0.3093782327586207,0.4754462983880115,2.2235
7DSQ-B,BRI,x(A),464,0.10590732758620691,0.14601312972374828,0.7815000000000001
7DSQ-B,BRI,y(A),464,0.04558405172413792,0.08492085564888009,1.1415
7DSQ-B,BRI,z(A),464,0.12717133620689655,0.17072614786451187,1.069
7DSQ-B,BRI,x(C),464,0.24649461206896547,0.4268339809645367,2.5445
7DSQ-B,BRI,y(C),464,0.17408081896551725,0.2528792165602058,1.325
7DSQ-B,BRI,z(C),464,0.17292133620689656,0.3457824530671531,2.357
7DSQ-B,LAI,length(N),463,0.006247300215982721,0.008744421239154447,0.04249999999999998
7DSQ-B,LAI,length(A),464,0.009362068965517252,0.011865808602581778,0.04700000000000015
7DSQ-B,LAI,length(C),464,0.009577586206896558,0.011878787962089235,0.03299999999999992
7DSQ-B,LAI,angle(N),463,2.467883369330453,2.93360585364422,11.189999999999998
7DSQ-B,LAI,angle(A),464,1.5095366379310344,2.179414577061211,9.870000000000005
7DSQ-B,LAI,angle(C),463,1.2380021598272135,1.6204308582308273,7.359999999999999
7DSQ-B,BTI,tau(NA),463,18.793158673127184,32.917307154402515,175.72025201394445
7DSQ-B,BTI,tau(AC),463,22.035609070740588,38.460483468473505,178.23731297144852
7DSQ-B,BTI,tau(CN),463,6.145883943574215,9.206087569075335,76.83395857118177
