epoch,repeat,chain,relax_success,relax_error,unrelaxed_path,relaxed_path,relaxed_exists,mean_plddt,min_plddt,max_plddt,num_residues,pdb_path
0,2,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_relaxed.pdb,True,9.191413881748067,7.18,17.63,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb
1,5,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_1/your_model_epoch_1/repeat_5/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_1/your_model_epoch_1/repeat_5/predictions/2olo_A_model_1_relaxed.pdb,True,14.514858611825169,7.61,35.64,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_1/your_model_epoch_1/repeat_5/predictions/2olo_A_model_1_unrelaxed.pdb
2,1,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_1/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_1/predictions/2olo_A_model_1_relaxed.pdb,True,29.929460154241653,23.84,48.66,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_1/predictions/2olo_A_model_1_unrelaxed.pdb
3,5,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_3/your_model_epoch_3/repeat_5/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_3/your_model_epoch_3/repeat_5/predictions/2olo_A_model_1_relaxed.pdb,True,35.79131105398459,25.17,60.04,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_3/your_model_epoch_3/repeat_5/predictions/2olo_A_model_1_unrelaxed.pdb
4,4,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_4/your_model_epoch_4/repeat_4/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_4/your_model_epoch_4/repeat_4/predictions/2olo_A_model_1_relaxed.pdb,True,36.57508997429306,24.78,62.29,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_4/your_model_epoch_4/repeat_4/predictions/2olo_A_model_1_unrelaxed.pdb
5,2,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_5/your_model_epoch_5/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_5/your_model_epoch_5/repeat_2/predictions/2olo_A_model_1_relaxed.pdb,True,38.26521850899741,25.72,62.28,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_5/your_model_epoch_5/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb
6,3,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_6/your_model_epoch_6/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_6/your_model_epoch_6/repeat_3/predictions/2olo_A_model_1_relaxed.pdb,True,42.81151670951153,26.85,68.15,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_6/your_model_epoch_6/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb
7,1,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_7/your_model_epoch_7/repeat_1/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_7/your_model_epoch_7/repeat_1/predictions/2olo_A_model_1_relaxed.pdb,True,41.57496143958872,25.14,64.98,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_7/your_model_epoch_7/repeat_1/predictions/2olo_A_model_1_unrelaxed.pdb
8,3,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_8/your_model_epoch_8/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_8/your_model_epoch_8/repeat_3/predictions/2olo_A_model_1_relaxed.pdb,True,48.783907455012816,26.27,71.38,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_8/your_model_epoch_8/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb
9,3,2olo_A,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_9/your_model_epoch_9/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_9/your_model_epoch_9/repeat_3/predictions/2olo_A_model_1_relaxed.pdb,True,49.54899742930591,23.47,72.24,389,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_9/your_model_epoch_9/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb
