chain,epoch,repeat,mean_plddt,relaxed_path,unrelaxed_path
2olo_A,0,2,9.191413881748067,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb
2olo_A,16,3,61.28442159383037,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_16/your_model_epoch_16/repeat_3/predictions/2olo_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_16/your_model_epoch_16/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb
2olo_A,32,4,72.42876606683807,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_32/your_model_epoch_32/repeat_4/predictions/2olo_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_32/your_model_epoch_32/repeat_4/predictions/2olo_A_model_1_unrelaxed.pdb
4bp8_A,2,1,29.10844755244752,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_1/predictions/4bp8_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_1/predictions/4bp8_A_model_1_unrelaxed.pdb
4bp8_A,17,1,67.41703496503497,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_17/your_model_epoch_17/repeat_1/predictions/4bp8_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_17/your_model_epoch_17/repeat_1/predictions/4bp8_A_model_1_unrelaxed.pdb
4bp8_A,32,1,73.38781818181826,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_32/your_model_epoch_32/repeat_1/predictions/4bp8_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_32/your_model_epoch_32/repeat_1/predictions/4bp8_A_model_1_unrelaxed.pdb
5i6x_A,2,4,29.716484517304192,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_4/predictions/5i6x_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_4/predictions/5i6x_A_model_1_unrelaxed.pdb
5i6x_A,17,4,69.39287795992719,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_17/your_model_epoch_17/repeat_4/predictions/5i6x_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_17/your_model_epoch_17/repeat_4/predictions/5i6x_A_model_1_unrelaxed.pdb
5i6x_A,32,4,76.93950819672136,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_32/your_model_epoch_32/repeat_4/predictions/5i6x_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_32/your_model_epoch_32/repeat_4/predictions/5i6x_A_model_1_unrelaxed.pdb
6nbf_A,2,4,29.63458158995815,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_4/predictions/6nbf_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_2/your_model_epoch_2/repeat_4/predictions/6nbf_A_model_1_unrelaxed.pdb
6nbf_A,17,3,55.14071129707117,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_17/your_model_epoch_17/repeat_3/predictions/6nbf_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_17/your_model_epoch_17/repeat_3/predictions/6nbf_A_model_1_unrelaxed.pdb
6nbf_A,32,4,58.72320083682008,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_32/your_model_epoch_32/repeat_4/predictions/6nbf_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_32/your_model_epoch_32/repeat_4/predictions/6nbf_A_model_1_unrelaxed.pdb
6xpf_A,1,4,19.94465625000002,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_1/your_model_epoch_1/repeat_4/predictions/6xpf_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_1/your_model_epoch_1/repeat_4/predictions/6xpf_A_model_1_unrelaxed.pdb
6xpf_A,17,5,69.06059375000002,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_17/your_model_epoch_17/repeat_5/predictions/6xpf_A_model_1_relaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_17/your_model_epoch_17/repeat_5/predictions/6xpf_A_model_1_unrelaxed.pdb
