,lo_A_model_1_relaxed_repeat001,lo_A_model_1_relaxed_repeat002,lo_A_model_1_relaxed_repeat003,lo_A_model_1_relaxed_repeat004,lo_A_model_1_relaxed_repeat005,lo_A_model_1_relaxed_repeat006,lo_A_model_1_relaxed_repeat007,lo_A_model_1_relaxed_repeat008,lo_A_model_1_relaxed_repeat009,lo_A_model_1_relaxed_repeat010,lo_A_model_1_relaxed_repeat011,lo_A_model_1_relaxed_repeat012,lo_A_model_1_relaxed_repeat013,lo_A_model_1_relaxed_repeat014,lo_A_model_1_relaxed_repeat015,lo_A_model_1_relaxed_repeat016,lo_A_model_1_relaxed_repeat017,lo_A_model_1_relaxed_repeat018,lo_A_model_1_relaxed_repeat019,lo_A_model_1_relaxed_repeat020,lo_A_model_1_relaxed_repeat021,lo_A_model_1_relaxed_repeat022,lo_A_model_1_relaxed_repeat023,lo_A_model_1_relaxed_repeat024,lo_A_model_1_relaxed_repeat025,lo_A_model_1_relaxed_repeat026,lo_A_model_1_relaxed_repeat027,lo_A_model_1_relaxed_repeat028,lo_A_model_1_relaxed_repeat029,lo_A_model_1_relaxed_repeat030,lo_A_model_1_relaxed_repeat031,lo_A_model_1_relaxed_repeat032,lo_A_model_1_relaxed_repeat033,lo_A_model_1_relaxed_repeat034,lo_A_model_1_relaxed_repeat035,lo_A_model_1_relaxed_repeat036,lo_A_model_1_relaxed_repeat037,lo_A_model_1_relaxed_repeat038,lo_A_model_1_relaxed_repeat039,lo_A_model_1_relaxed_repeat040,lo_A_model_1_relaxed_repeat041,lo_A_model_1_relaxed_repeat042,lo_A_model_1_relaxed_repeat043,lo_A_model_1_relaxed_repeat044,lo_A_model_1_relaxed_repeat045,lo_A_model_1_relaxed_repeat046,lo_A_model_1_relaxed_repeat047,lo_A_model_1_relaxed_repeat048,lo_A_model_1_relaxed_repeat049,lo_A_model_1_relaxed_repeat050,lo_A_model_1_relaxed_repeat051,lo_A_model_1_relaxed_repeat052,lo_A_model_1_relaxed_repeat053,lo_A_model_1_relaxed_repeat054,lo_A_model_1_relaxed_repeat055,lo_A_model_1_relaxed_repeat056,lo_A_model_1_relaxed_repeat057,lo_A_model_1_relaxed_repeat058,lo_A_model_1_relaxed_repeat059,lo_A_model_1_relaxed_repeat060,lo_A_model_1_relaxed_repeat061,lo_A_model_1_relaxed_repeat062,lo_A_model_1_relaxed_repeat063,lo_A_model_1_relaxed_repeat064,lo_A_model_1_relaxed_repeat065,lo_A_model_1_relaxed_repeat066,lo_A_model_1_relaxed_repeat067,lo_A_model_1_relaxed_repeat068,lo_A_model_1_relaxed_repeat069,lo_A_model_1_relaxed_repeat070,lo_A_model_1_relaxed_repeat071,lo_A_model_1_relaxed_repeat072,lo_A_model_1_relaxed_repeat073,lo_A_model_1_relaxed_repeat074,lo_A_model_1_relaxed_repeat075,lo_A_model_1_relaxed_repeat076,lo_A_model_1_relaxed_repeat077,lo_A_model_1_relaxed_repeat078,lo_A_model_1_relaxed_repeat079,lo_A_model_1_relaxed_repeat080,lo_A_model_1_relaxed_repeat081,lo_A_model_1_relaxed_repeat082,lo_A_model_1_relaxed_repeat083,lo_A_model_1_relaxed_repeat084,lo_A_model_1_relaxed_repeat085,lo_A_model_1_relaxed_repeat086,lo_A_model_1_relaxed_repeat087,lo_A_model_1_relaxed_repeat088,lo_A_model_1_relaxed_repeat089,lo_A_model_1_relaxed_repeat090,lo_A_model_1_relaxed_repeat091,lo_A_model_1_relaxed_repeat092,lo_A_model_1_relaxed_repeat093,lo_A_model_1_relaxed_repeat094,lo_A_model_1_relaxed_repeat095,lo_A_model_1_relaxed_repeat096,lo_A_model_1_relaxed_repeat097,lo_A_model_1_relaxed_repeat098,lo_A_model_1_relaxed_repeat099,lo_A_model_1_relaxed_repeat100
lo_A_model_1_relaxed_repeat001,0.0,0.3097888431250384,0.30247075078209434,0.38098873702463704,0.30633483321835675,0.3214222239762028,0.3743573606547557,0.37466914350644254,0.32614745166703113,0.3656727196706118,0.3715997200366686,0.40337066947871675,0.3360042918180833,0.36037982665011403,0.3924444139311338,0.29671390535480685,0.3720157364339665,0.3514852198879974,0.31382849803715646,0.36402691343538496,0.3159160443333623,0.36358416877326566,0.30744337790097953,0.39032072942246004,0.31490998327768877,0.38668374734115324,0.33593944034938855,0.4153195505168133,0.3986285143059132,0.36588618976761195,0.3373276701984957,0.35262181713947705,0.3485915252873281,0.3480502405646081,0.3707275065599688,0.37329089785394026,0.35109646360011026,0.36883305907273267,0.3636899196483058,0.41944752136109426,0.3742478580131993,0.334391810141272,0.37069443396988283,0.37948036905842086,0.38852448217261215,0.3718424913057764,0.3332485442949123,0.29435305264159867,0.3475090184192197,0.41121394659136334,0.36881921163718584,0.4197086324994563,0.3683298732998628,0.3826479161761294,0.30346482710118755,0.3045276837290293,0.35234395992328377,0.3561747573830193,0.3067933277024564,0.3374173135609686,0.4243492704016526,0.3528454131071947,0.35819328866657973,0.3793467014296431,0.300678060618561,0.4532265190159794,0.39769280960994335,0.36500083289144003,0.3055404929742115,0.315190520761146,0.3749360651267908,0.4037507269334443,0.4044918039421395,0.35812538464926774,0.3786124807590899,0.32444961650165144,0.35567192450724805,0.29048797187246,0.3447064642489213,0.4101980749078218,0.3843264736399074,0.3796709666519879,0.40078495941213554,0.28038339784196875,0.41911385501088927,0.30888622662953197,0.4306284790644971,0.3733067254977598,0.3914305226694173,0.30409258999590055,0.3931372659405931,0.32703208664265404,0.41379827558308707,0.323069727212123,0.3436640489500939,0.35614177948655673,0.351497023269996,0.4282649895655185,0.3643836585849821,0.32644357510191846
lo_A_model_1_relaxed_repeat002,0.3097888431250384,0.0,0.2767520594901613,0.3907980170481362,0.250212327573631,0.2969579672862204,0.2987579438489888,0.3184462457698651,0.24125957029206266,0.33719103910490655,0.34046988484926294,0.3754220133741416,0.26915503879179004,0.3525189145586408,0.35820902458379816,0.2414649496063808,0.347342949350522,0.3303740023095081,0.26685022294882904,0.35743310748071316,0.2677427501493005,0.35045231349548084,0.2869258401891338,0.34450549245950196,0.2695313051642041,0.32516099236918344,0.27417797546805184,0.399738111693036,0.3445791943415975,0.32640303513413943,0.2696082040498529,0.3355907395804175,0.3486214420703991,0.3294281688850175,0.34517586900540104,0.3418079926839935,0.3350859646711563,0.3478198191728615,0.3500271806327162,0.3966290000269456,0.3749523574886096,0.33144958424406734,0.3492602032246292,0.3770457408604444,0.36218759909539083,0.35215392817250346,0.2856110083114261,0.2768449362749094,0.3448837584853087,0.40851768049739284,0.34486081868376,0.41868668568815537,0.33132995971259127,0.34481485152352037,0.26561667389963495,0.29211149810431913,0.3299697389341988,0.32892681089290576,0.2522720787497859,0.27138631013301107,0.39891175283791463,0.33144949791930367,0.3334972272332201,0.3564957808641819,0.2830068471547653,0.4294603194142144,0.395301518356404,0.34589214126741585,0.2462077469323402,0.2863388850323076,0.3431472195809718,0.4035863191738794,0.3894860338052285,0.3213522483584575,0.3081292020406612,0.28926575689422346,0.3335132275658244,0.2624308070125186,0.2983899091981863,0.395376859755764,0.32472587757228866,0.33784544129401445,0.3848136497895802,0.2997917255092843,0.406288656133794,0.2614798317883155,0.41862927764670765,0.3366479548334762,0.3551167371382376,0.26766483429713606,0.398865092413007,0.294913823158781,0.39637769736698997,0.3171220729560417,0.33031116382878806,0.34310544265320925,0.3337878589223229,0.4077924799746696,0.3428561763389878,0.2670548319386912
lo_A_model_1_relaxed_repeat003,0.30247075078209434,0.2767520594901613,0.0,0.3836138676165839,0.2822705304499834,0.3331851745126446,0.3558477757201505,0.3306296070422804,0.29471976942388917,0.3602764000129549,0.3733066488521913,0.3869891112758417,0.3066920279368213,0.37476844543892646,0.37003870191588567,0.29130386182500756,0.38960465637483804,0.3536299804741232,0.32932948744662965,0.38073361156546126,0.2753125938282842,0.36492325804644626,0.2744700707590707,0.3692014737011741,0.311982034257697,0.37196281753043386,0.3215845069898555,0.42593147944103277,0.3824105457031094,0.3544003377929456,0.31148378115521,0.3566009860238615,0.3612346892469044,0.34515945600769904,0.35755448177753113,0.37654080214439206,0.37482558652623404,0.3649523064456113,0.36731566961469553,0.4246360387191754,0.40326957724496215,0.3576756148992579,0.35915474605884734,0.39417177435314865,0.4038946306590994,0.37374465130310885,0.2857506240942322,0.28002202038896545,0.378211399432836,0.4234730712336805,0.36097586697438827,0.44326910158893557,0.3886468583992848,0.38508873436304697,0.28614211581570914,0.30516671491378816,0.35635513783756956,0.3576687352528821,0.2632085505044531,0.29451679589034724,0.440663305465723,0.36693315845722285,0.3641328893237571,0.3767355830961756,0.32381037917199873,0.4325558999491623,0.41260781310973604,0.37447691701010166,0.294037942915716,0.31020852278890193,0.3567120156214228,0.43451968121357365,0.40077025266607735,0.34818191190356806,0.3602258471351077,0.3264300331213492,0.37008416473048833,0.28285505369712394,0.3446757095854807,0.41372974668304296,0.36150500068764546,0.3843317966287163,0.41403240527527035,0.3162302089686842,0.4307218215433809,0.2867431943631633,0.4293910250116029,0.36858520055955957,0.37537563446871414,0.2979878155183948,0.4242987650937554,0.336799843345904,0.41262553038582117,0.3295465302407314,0.3693544614172307,0.3686560287382206,0.3647240123027473,0.41914887532386946,0.37692441837506624,0.31349905823397756
lo_A_model_1_relaxed_repeat004,0.38098873702463704,0.3907980170481362,0.3836138676165839,0.0,0.3920035838205859,0.3875749777478569,0.3913823489396481,0.34624823432199847,0.38091531957469926,0.36819623740849655,0.36648549302139627,0.370966259470098,0.39959217407176423,0.4175296242477455,0.3800705453680491,0.3711154357698783,0.38773857393447225,0.3800914354266515,0.37856796654402247,0.3793698185510648,0.4042577401334412,0.37613393651387655,0.39272792330740947,0.3620326102337678,0.38071858117822854,0.3703850990554142,0.3927662797398923,0.43366488911543455,0.3751766012390837,0.3805867768416605,0.4102165240047305,0.38659516629637214,0.37446885608471675,0.38480889112591526,0.3897105047844386,0.370200772964199,0.3662851051498675,0.37767449708852857,0.3634838579929778,0.41339925174675657,0.3722460536574153,0.396464345320178,0.3798879813809737,0.4091579685214232,0.3809246336716901,0.37068196827238437,0.40003236635862083,0.37619733506101555,0.40815418977677037,0.392091125433587,0.3691684969130202,0.4335414268701313,0.40008450466454615,0.3893422059858726,0.3825767616319273,0.37827350430997286,0.37394593873044,0.3716858704149169,0.3900539561370198,0.403801959987619,0.4249999410923127,0.38765159940065086,0.39848163178831125,0.3890379535824376,0.37241208120311725,0.4371565686595302,0.41065570930888423,0.3979435693742201,0.390990305724123,0.3727846340782625,0.3553086067189813,0.3769993340233869,0.39381240677643,0.3894047766970113,0.38686151422364384,0.4003076070442713,0.36818854409897445,0.3889053637766506,0.38807226883263624,0.39012451700664874,0.3946445132590767,0.3809906896229869,0.43526592269793957,0.37665070167591796,0.4246239436986941,0.4035482466949727,0.45976948880131013,0.3709381834058616,0.4018555317317467,0.39892179433710906,0.4299305263769131,0.37276667346602244,0.41344717847003803,0.38443195185625695,0.3836223703499369,0.3592862500041716,0.3920073792771321,0.4276193539517428,0.39528135974511325,0.3765092281146743
lo_A_model_1_relaxed_repeat005,0.30633483321835675,0.250212327573631,0.2822705304499834,0.3920035838205859,0.0,0.28839841897740964,0.3145373785703103,0.33041600345049055,0.23531131785150683,0.3511245372079124,0.3524987849896369,0.388639128189562,0.27093807262704056,0.35706404934716485,0.38568509173377935,0.24535525031168146,0.34056949696115174,0.34660652058847535,0.26123942504146325,0.35799081677146954,0.27280144697320136,0.3525377849857123,0.2863968853979827,0.35581553144535394,0.29498905195368214,0.33136182351468263,0.26550230419644094,0.41713022568357105,0.3637615043483569,0.34919883780760247,0.2636051909761739,0.32078114600730906,0.3594281740533015,0.34838187161395434,0.3510080720819205,0.35123880500337695,0.33339155428601036,0.33795429341096855,0.3292425520539161,0.4028054337437679,0.3485398112124352,0.360353387194258,0.34371678796509414,0.36897852270097276,0.36733440304765197,0.3598425184082106,0.24525995668256026,0.26511756778765594,0.34017423794318835,0.4117011360986874,0.3339476885010911,0.40962214348004256,0.34363944574150374,0.3587096171187048,0.22975168532542092,0.27670284335241896,0.345766962795466,0.3410673728014739,0.2793949624892648,0.2458143454270715,0.4155126106554817,0.32285568601376113,0.35950657649168605,0.3655681293884993,0.28464705952785474,0.4326558696859164,0.39548919382461734,0.3512988774356583,0.19630164228540856,0.2735735013814075,0.3408087662671263,0.4059551692339364,0.3890609361233371,0.347087205032101,0.34525684494918163,0.26132385533599506,0.33108660571881965,0.24675119380705626,0.2856379051798561,0.39709340962255374,0.31977388291504305,0.3643399189464576,0.4045655399422036,0.28658718996756466,0.4023529507729602,0.23351589016277277,0.43590325211844794,0.3679573200976545,0.34129199946442684,0.2792538084906082,0.3841581100341461,0.2856399085696327,0.41096460032242293,0.31140546229254973,0.3109217916374172,0.34073000819350785,0.35964654401752316,0.39491745936825456,0.3356670807918536,0.2938209141870842
lo_A_model_1_relaxed_repeat006,0.3214222239762028,0.2969579672862204,0.3331851745126446,0.3875749777478569,0.28839841897740964,0.0,0.35598138544187374,0.3401998907484188,0.27511776643416785,0.3461635228462933,0.34929673879245476,0.3919105471495962,0.2970398064873702,0.3550028309947769,0.39001903772176005,0.2882735844880534,0.3831692626425672,0.37864440836071067,0.2733186080684081,0.3473659311572673,0.3147788469078856,0.34118458959542164,0.3042713099240848,0.36012178038766984,0.32035723086081086,0.3463949634050546,0.27715115205834434,0.43179566512815076,0.34933970005883386,0.3558600776285328,0.29862622989085685,0.34996312906137994,0.37097686457330586,0.3639583682900488,0.3856409116425214,0.34966843072390924,0.30588294768163105,0.3350113272912541,0.33634916117932745,0.4160402616150178,0.3669666479994059,0.3800352366766532,0.34815339555767727,0.3919005450315096,0.3682711416368623,0.356207692063985,0.29589760630861855,0.2800161961389788,0.3603874484753846,0.39598731211881577,0.34507854012602385,0.4153240629354611,0.34422856465004475,0.3607057935879281,0.2910389853389481,0.309193745946112,0.37259047542150237,0.33536860766072285,0.3191180622045371,0.31447574285932484,0.4067779110960315,0.35988346548119227,0.37052949006022695,0.4001906198161586,0.3089290189827931,0.44192717504138307,0.40258598989045824,0.3607308588180065,0.29544912587444117,0.29501848830307137,0.34461543742826867,0.41197576911119904,0.38220806413764413,0.345672490476736,0.3443451623648326,0.29825635390824123,0.3361948988522969,0.27725075803795024,0.31029659538924587,0.3826003192521479,0.3666775781963377,0.36018573336250104,0.41108934456290847,0.31258953509915366,0.42671191864822816,0.2748548843284377,0.45083111931209924,0.3467125808705326,0.3621016779563813,0.2745479833032988,0.3915891470480724,0.284998757620965,0.4170436520621335,0.35446314360124076,0.3118810895518172,0.35179893301484905,0.3518920451572063,0.41985582374486,0.37301175348820226,0.3041394906236206
lo_A_model_1_relaxed_repeat007,0.3743573606547557,0.2987579438489888,0.3558477757201505,0.3913823489396481,0.3145373785703103,0.35598138544187374,0.0,0.30905060213193497,0.3267123263759857,0.3071809148518396,0.3146928015867686,0.3763113647029252,0.3140680060852298,0.32973930831024884,0.3479882917800869,0.3227052584542877,0.3440702676345344,0.30290661554285675,0.35005252007338583,0.3537103961563331,0.35107902342164404,0.33879412513718093,0.36409792108351713,0.31540754116590247,0.3397374649113307,0.27150868696204034,0.35649228954295287,0.39309170338169824,0.35107128100867224,0.3374510190706451,0.34238288099143377,0.3272518334828434,0.3293303128101364,0.3183910732675787,0.31254742701624955,0.3359548559495033,0.3312325359123469,0.34436684867504386,0.31410294185660803,0.3952573635049246,0.3653623439083574,0.33073040942677073,0.32372443641099097,0.3546323732707913,0.34001279114203964,0.3638470728448143,0.3561100840871472,0.35377655953617565,0.3282282171262591,0.38797246336808844,0.3315628229753739,0.3936493723177776,0.31479670756831496,0.34890599510350956,0.32792895004924555,0.34375778310866295,0.3005944039867584,0.3099461395824444,0.33671067291254503,0.3248439704692309,0.36420686162449406,0.26133650110485557,0.32178921294529783,0.3401165751509587,0.338229421592654,0.42764758932803887,0.39526757022856296,0.38472017588619595,0.32415277487510036,0.32540600808857706,0.33401896582065066,0.3811353042840217,0.3820256603295315,0.37020494652563163,0.3157958359673322,0.3299302392991672,0.31310818928514933,0.3307720193053893,0.342534732426443,0.3693743695665738,0.3120865677197161,0.3450507209092599,0.3635154220782086,0.3597750051954363,0.4021427230113191,0.31794588395134527,0.40242711422116173,0.33886260989286626,0.34992134820337734,0.33389846228867404,0.38233979599229234,0.3525640801544657,0.37841893052726894,0.31272625571853857,0.38442912360142717,0.30757833946331464,0.3181928136628272,0.39043220979254606,0.33358850033184306,0.32623433479895514
lo_A_model_1_relaxed_repeat008,0.37466914350644254,0.3184462457698651,0.3306296070422804,0.34624823432199847,0.33041600345049055,0.3401998907484188,0.30905060213193497,0.0,0.3182328710691251,0.29846886332550865,0.3296655000406083,0.3602221536774217,0.3563968067113518,0.3384827714259877,0.3302625651593541,0.30828618515908685,0.35679670860764323,0.3196201697840127,0.3432310499475079,0.3213152957972974,0.3495840978760901,0.30560711404433377,0.33631857810708493,0.29023127278505334,0.3290884362227087,0.3193190179008025,0.33120510870808556,0.41823424722371416,0.2998483164460599,0.34448460393203184,0.33866133842811574,0.300540619227146,0.33177154868225434,0.3202297994620727,0.32186856095202526,0.3400161150771537,0.32398630289492075,0.30355551610716025,0.35112490390201645,0.3959689587695137,0.3492674123388674,0.34533490203520173,0.3220865894469586,0.3675980886682639,0.3465044739981221,0.3304631942392089,0.33405177226324884,0.3343580101776494,0.34476750890003116,0.38897098390923585,0.29031224865089345,0.418674589648294,0.34436959052506033,0.32950919412495233,0.33386426957779614,0.3285917844395147,0.3172988193683238,0.3020702056740073,0.3301219265804014,0.33634516299410033,0.39299058804122045,0.3306016538146885,0.3473899821725966,0.37342765260629046,0.3294294716992308,0.410013363821425,0.3931110644752645,0.3828383568024485,0.34411529491518345,0.30965784800747104,0.3115428862244836,0.3904803908294469,0.35613241979519994,0.36628533949432,0.3205925754407827,0.3382897319981696,0.3063250258454694,0.3318205730569801,0.3331529268597987,0.3626965453062796,0.3229312722249577,0.31785245945245,0.4075114469547348,0.34761340406237795,0.4276171124379676,0.33208859152043413,0.4214128426817462,0.283467291399336,0.3481716397138076,0.32247646884908265,0.40811072440730073,0.33541702098809245,0.36985358430025045,0.31058383344367185,0.3677694432334636,0.2988264600380698,0.31826186570891707,0.3866541855812088,0.3606576015827188,0.3345920155671066
lo_A_model_1_relaxed_repeat009,0.32614745166703113,0.24125957029206266,0.29471976942388917,0.38091531957469926,0.23531131785150683,0.27511776643416785,0.3267123263759857,0.3182328710691251,0.0,0.34043731868615745,0.34776922445264596,0.3832581502436486,0.29053248927572567,0.3570378852476946,0.3830079728884731,0.23559494591517138,0.36749934065126294,0.343454927979856,0.25015943414005076,0.36272261676050077,0.27324730842109046,0.3353001772588467,0.27619688816140364,0.3448391219519797,0.284980786441675,0.3369667779500823,0.24822966890858633,0.4114104981610688,0.34999006730234566,0.3522424382952664,0.25753358601473325,0.33737932193149117,0.3648762504077074,0.3489446176814737,0.3601744927615662,0.3385814470410341,0.33573735391738974,0.33241101297198977,0.3452124224229712,0.387744292831949,0.362560635745629,0.3622037144456501,0.3292760950647889,0.3708533252395099,0.3615689859716886,0.36110001230146777,0.2532172951624451,0.24714744546467374,0.366402805306901,0.39941853302112046,0.346289962599878,0.41054107846859533,0.3500793697049142,0.36934880637756523,0.24117511550246054,0.2877204075211711,0.3373810180776097,0.3243656073172685,0.2824480151442763,0.27850212472509944,0.408722704198138,0.3440426995490801,0.3638577674919619,0.3711453486358411,0.2746340522603565,0.4313308413581434,0.38994625652220277,0.3430149085212058,0.22770761565225964,0.25736193292859755,0.33039331483743795,0.40086455209624705,0.3821434540278902,0.3317526613701543,0.34783133564180696,0.2944052465788639,0.33424969892331846,0.23676684897284964,0.2852420100403261,0.37924674986324036,0.33035035808124424,0.3455704164601984,0.4010018926173411,0.31289830696364485,0.39942687839880103,0.25671452278527174,0.434404003596291,0.34853628124187735,0.3636980227995046,0.2716779840889331,0.39132638248037765,0.27802105703436647,0.40257294809856825,0.33179349628556054,0.3201189871772043,0.3476577255498256,0.36488628757632197,0.4067091842029406,0.3526264827514025,0.27478403537036244
lo_A_model_1_relaxed_repeat010,0.3656727196706118,0.33719103910490655,0.3602764000129549,0.36819623740849655,0.3511245372079124,0.3461635228462933,0.3071809148518396,0.29846886332550865,0.34043731868615745,0.0,0.3456514655289597,0.3623227404405406,0.3448608601675993,0.35021611966342014,0.35190298116740415,0.3085746919084732,0.36813674606786584,0.326701422926943,0.3558265478977661,0.31314524230042745,0.37422996762622834,0.3103628408653099,0.36160320969114934,0.30997729392131473,0.354237499438701,0.324079151037735,0.35264461719583357,0.40823203029397376,0.3425761195866048,0.31558751441728505,0.36471236241199356,0.3289308557560136,0.3248294809625999,0.3232211802009146,0.3573775088531015,0.32014557668632077,0.30384305300330483,0.31333624020810924,0.3418066951966549,0.3970151148641764,0.33947080755869036,0.3386422439460787,0.319098470771392,0.3602571804301784,0.3714329827278173,0.3499091645871664,0.3674844697116547,0.34991881339199987,0.3300482038752202,0.3847437510008339,0.3006255757030824,0.41164007779620854,0.36377283074623284,0.35016064165499045,0.3340487315926882,0.34436502076290465,0.32121465643377545,0.31908282365992774,0.3382812739640421,0.35391786346164167,0.3896510305491459,0.3324925591044102,0.34529061384787874,0.3874644106597366,0.3454564271532901,0.4249887653147749,0.3963731858136291,0.3925333879532835,0.3503326030518531,0.32626358302454084,0.3269696559882169,0.3866981019238051,0.3798390970240426,0.36960099121060624,0.3099078731536718,0.3347231683462529,0.3255260516462994,0.34892141184686193,0.3471277197100949,0.382098040733625,0.3514464287408226,0.34589292710941705,0.3988943947931895,0.35283929074436987,0.4195540585090852,0.33762483517598474,0.42043692785057446,0.3270880759704641,0.34734805655009404,0.30846215071921435,0.40517888453032913,0.3572970776772995,0.4109688124503694,0.3291585491836955,0.37276517670927345,0.3118265447190413,0.32626042592103405,0.38989900016419826,0.3790171386841352,0.3373820781646036
