review_group_id,deposition_count,pair_count,possible_pair_count,graph_density,minimum_d_bri_mA,maximum_d_bri_mA,chain_pair_count_total,distance_histogram_json,members
NZ0001,260,1418,33670,0.042114642114642116,1,10,1686,"{""1"": 18, ""10"": 318, ""2"": 30, ""3"": 58, ""4"": 96, ""5"": 92, ""6"": 145, ""7"": 172, ""8"": 209, ""9"": 280}",148l;1a07;1a08;1a09;1a1a;1a1b;1a1c;1a1e;1a7z;1aa5;1axd;1bx9;1c0q;1c0r;1czi;1d5x;1eb1;1eyx;1fvm;1ghg;1go6;1hh3;1hhc;1hhf;1hhu;1hhy;1hhz;1jyq;1lgc;1mcb;1mck;1mcr;1n51;1qd8;1rrv;1sho;1t6o;1w9u;1waw;1zea;2g2l;2h5d;2ig0;2j9n;2r3c;2r5b;2r5d;2xdw;3ah8;3azq;3che;3chf;3e0n;3e7a;3g3p;3gkr;3h5r;3h9q;3k26;3l35;3l37;3lvy;3mbu;3mgn;3nzj;3nzw;3nzx;3ove;3q4a;3qxy;3rc0;3s8l;3s8n;3s8o;3td5;3u1i;3u8o;3uw4;3uw5;4cvk;4dg4;4dkt;4f75;4fbv;4fln;4fzg;4gk7;4gm8;4gm9;4gmb;4gr7;4han;4jj7;4jj8;4jna;4jsq;4jsu;4jt0;4knl;4nz8;4o46;4p9z;4qa5;4qg1;4rcp;4s1x;4ttk;4uca;4ucb;4whl;4wkm;4x6z;4y69;4y6a;4y6v;4y84;4z33;4zkr;5aa2;5b6l;5cgh;5ctv;5d13;5d53;5d54;5d5e;5dc8;5dir;5efj;5efk;5etf;5gnd;5i5a;5jqs;5lrk;5m2h;5m2k;5mfk;5n22;5n8j;5nf0;5nqa;5nwk;5onj;5svi;5tdb;5zms;6cl1;6cnu;6df1;6e8m;6ecd;6ece;6ecf;6fbt;6fcr;6fcs;6fms;6fvn;6g8k;6l5z;6m5e;6m9c;6m9d;6mw2;6phm;6phq;6ppm;6psa;6pt2;6rlz;6ryo;6s5p;6s7g;6tch;6tdb;6tsl;6ucw;6uf4;6whq;6wi3;6wm1;6wo2;6wuu;6wx4;6x5r;6xbg;6xbh;6xif;6yd2;6yi1;6zve;7ajz;7aku;7axp;7axs;7axx;7f0c;7f0f;7lfu;7lfv;7lkc;7ltb;7m2p;7ms1;7new;7nxe;7o50;7ofv;7oyq;7q4t;7qdi;7rxf;7u0e;7z3u;7zb0;8ano;8aoo;8bfd;8c3d;8cis;8g1w;8g82;8hoo;8hop;8hoq;8hor;8i82;8i84;8i8g;8pwj;8pwp;8pxy;8rhk;8s6t;8s9z;8sou;8t5p;8ti6;8tqu;8v2n;8vjd;8vje;8vjw;8vld;8vpe;8ysa;9c2y;9ehn;9emz;9ex5;9fxn;9i24;9j3s;9kgq;9mkj;9qb1;9qbe;9qby;9qdf
NZ0002,20,190,190,1.0,2,7,380,"{""2"": 5, ""3"": 56, ""4"": 108, ""5"": 19, ""6"": 2}",2zxe;5avq;5avr;5avs;5avt;5avu;5avv;5avw;5avx;5avy;5avz;5aw0;5aw1;5aw2;5aw3;5aw4;5aw5;5aw6;5aw7;5aw8
NZ0003,10,45,45,1.0,2,5,855,"{""2"": 45}",5eeu;5eev;5eew;5eex;5eey;5eez;5ef0;5ef1;5ef2;5ef3
NZ0004,8,28,28,1.0,2,4,112,"{""2"": 21, ""3"": 7}",4x4b;4x4c;4x4d;4x4e;4x4f;4x4g;4x4h;4x4i
NZ0005,5,10,10,1.0,2,5,20,"{""2"": 3, ""3"": 6, ""4"": 1}",1k4c;3f5w;3f7y;3fb6;3fb8
NZ0006,5,10,10,1.0,1,1,20,"{""1"": 10}",6zhw;6zi6;6zi9;6zia;6zid
NZ0007,4,3,6,0.5,9,10,3,"{""10"": 2, ""9"": 1}",7gw3;7gw4;7gw6;7gw7
NZ0008,3,3,3,1.0,2,6,25,"{""2"": 1, ""3"": 1, ""5"": 1}",3kzi;4v62;4v82
NZ0009,3,2,3,0.6666666666666666,10,10,2,"{""10"": 2}",7gvc;7gvf;7gvg
NZ0010,2,1,1,1.0,6,7,5,"{""6"": 1}",1bmf;2w6i
NZ0011,2,1,1,1.0,3,3,2,"{""3"": 1}",1fzi;1mty
NZ0012,2,1,1,1.0,2,3,4,"{""2"": 1}",1gyp;1gyq
NZ0013,2,1,1,1.0,2,2,1,"{""2"": 1}",1kac;1p69
NZ0014,2,1,1,1.0,4,6,3,"{""4"": 1}",1kqa;1krr
NZ0015,2,1,1,1.0,2,3,6,"{""2"": 1}",1mqm;1mqn
NZ0016,2,1,1,1.0,2,2,1,"{""2"": 1}",1th6;2arm
NZ0017,2,1,1,1.0,9,9,1,"{""9"": 1}",1tmb;6yd3
NZ0018,2,1,1,1.0,2,2,1,"{""2"": 1}",1ydt;2uzw
NZ0019,2,1,1,1.0,2,3,2,"{""2"": 1}",2ck3;2w6j
NZ0020,2,1,1,1.0,2,2,1,"{""2"": 1}",2h4y;2hby
NZ0021,2,1,1,1.0,3,3,1,"{""3"": 1}",3g1f;3g1h
NZ0022,2,1,1,1.0,3,4,6,"{""3"": 1}",3l3o;3ohx
NZ0023,2,1,1,1.0,7,9,3,"{""7"": 1}",3rhw;3ria
NZ0024,2,1,1,1.0,8,8,1,"{""8"": 1}",3run;7zmu
NZ0025,2,1,1,1.0,10,10,1,"{""10"": 1}",3s60;8vjf
NZ0026,2,1,1,1.0,1,1,1,"{""1"": 1}",4f9n;4i47
NZ0027,2,1,1,1.0,5,5,1,"{""5"": 1}",4lo0;4lo7
NZ0028,2,1,1,1.0,2,2,1,"{""2"": 1}",4lyz;5lyz
NZ0029,2,1,1,1.0,2,3,3,"{""2"": 1}",4oin;4q4z
NZ0030,2,1,1,1.0,3,3,1,"{""3"": 1}",4v2b;4v2c
NZ0031,2,1,1,1.0,1,1,1,"{""1"": 1}",5c7z;5fpi
NZ0032,2,1,1,1.0,3,3,1,"{""3"": 1}",5cry;5hbc
NZ0033,2,1,1,1.0,2,3,2,"{""2"": 1}",5wku;5wky
NZ0034,2,1,1,1.0,3,3,2,"{""3"": 1}",5zis;5zlh
NZ0035,2,1,1,1.0,2,2,1,"{""2"": 1}",6dvc;6tyf
NZ0036,2,1,1,1.0,4,4,1,"{""4"": 1}",6e2w;6e2y
NZ0037,2,1,1,1.0,1,1,1,"{""1"": 1}",6j5p;6j5q
NZ0038,2,1,1,1.0,1,1,2,"{""1"": 1}",6zi4;6zi5
NZ0039,2,1,1,1.0,2,3,2,"{""2"": 1}",7f4m;7f4n
NZ0040,2,1,1,1.0,9,9,1,"{""9"": 1}",7gue;7guf
NZ0041,2,1,1,1.0,10,10,1,"{""10"": 1}",7gvb;7gve
NZ0042,2,1,1,1.0,9,9,1,"{""9"": 1}",7gvr;7gvz
NZ0043,2,1,1,1.0,10,10,1,"{""10"": 1}",7gvv;7gvx
NZ0044,2,1,1,1.0,10,10,1,"{""10"": 1}",7gwb;7gwf
NZ0045,2,1,1,1.0,9,9,1,"{""9"": 1}",7gwm;7gxb
NZ0046,2,1,1,1.0,9,9,1,"{""9"": 1}",7gwy;7gx2
NZ0047,2,1,1,1.0,10,10,1,"{""10"": 1}",7gx1;7gx9
NZ0048,2,1,1,1.0,8,8,1,"{""8"": 1}",7gxe;7gxf
NZ0049,2,1,1,1.0,9,9,1,"{""9"": 1}",7gxh;7gxn
NZ0050,2,1,1,1.0,10,10,1,"{""10"": 1}",7gxs;7gxu
NZ0051,2,1,1,1.0,5,9,2,"{""5"": 1}",8bzl;9cl8
NZ0052,2,1,1,1.0,2,2,2,"{""2"": 1}",8f6s;9el8
NZ0053,2,1,1,1.0,8,10,2,"{""8"": 1}",8hos;9bc1
