target,group,feature,mapped_residues,mae,rmse,max_absolute_error
4BP8-A,BRI,x(AN),694,0.013185158501440935,0.016586718672216023,0.05500000000000016
4BP8-A,BRI,x(AC),694,0.054408501440922186,0.06949841652250392,0.311
4BP8-A,BRI,y(AC),694,0.02122550432276658,0.028313351856884737,0.14850000000000008
4BP8-A,BRI,x(N),695,0.3084474820143885,0.5717323781545137,2.974
4BP8-A,BRI,y(N),695,0.17813597122302158,0.39575417075384656,3.4005
4BP8-A,BRI,z(N),695,0.3370122302158273,0.5241896593036373,1.9754999999999998
4BP8-A,BRI,x(A),694,0.13767651296829972,0.19030002192049134,0.9099999999999999
4BP8-A,BRI,y(A),694,0.08538760806916426,0.2009040643779351,2.122
4BP8-A,BRI,z(A),694,0.17263688760806917,0.26200097619546675,1.6150000000000002
4BP8-A,BRI,x(C),694,0.29978530259365993,0.4754753173168105,2.662
4BP8-A,BRI,y(C),694,0.242078530259366,0.34724692492979525,1.9315000000000002
4BP8-A,BRI,z(C),694,0.3687384726224784,0.6309173096825451,2.8465
4BP8-A,LAI,length(N),694,0.06584293948126803,0.38522939477592266,3.1315
4BP8-A,LAI,length(A),694,0.013180115273775227,0.016572932864957795,0.05449999999999999
4BP8-A,LAI,length(C),694,0.013682997118155623,0.017211726114778385,0.05699999999999994
4BP8-A,LAI,angle(N),693,3.1489826839826844,4.644769471304087,32.94499999999999
4BP8-A,LAI,angle(A),694,2.1394524495677234,2.7366095791092713,12.470000000000013
4BP8-A,LAI,angle(C),694,2.0351080691642647,4.401564043639416,46.06999999999999
4BP8-A,BTI,tau(NA),693,23.013538876061503,37.09220423184956,179.9351134527867
4BP8-A,BTI,tau(AC),694,26.256139838922415,44.27891351863547,174.5034275056941
4BP8-A,BTI,tau(CN),693,11.360489731996402,24.90228858487688,175.57109461760348
