,lo_A_model_1_unrelaxed_repeat001,lo_A_model_1_unrelaxed_repeat002,lo_A_model_1_unrelaxed_repeat003,lo_A_model_1_unrelaxed_repeat004,lo_A_model_1_unrelaxed_repeat005,lo_A_model_1_unrelaxed_repeat006,lo_A_model_1_unrelaxed_repeat007,lo_A_model_1_unrelaxed_repeat008,lo_A_model_1_unrelaxed_repeat009,lo_A_model_1_unrelaxed_repeat010,lo_A_model_1_unrelaxed_repeat011,lo_A_model_1_unrelaxed_repeat012,lo_A_model_1_unrelaxed_repeat013,lo_A_model_1_unrelaxed_repeat014,lo_A_model_1_unrelaxed_repeat015,lo_A_model_1_unrelaxed_repeat016,lo_A_model_1_unrelaxed_repeat017,lo_A_model_1_unrelaxed_repeat018,lo_A_model_1_unrelaxed_repeat019,lo_A_model_1_unrelaxed_repeat020,lo_A_model_1_unrelaxed_repeat021,lo_A_model_1_unrelaxed_repeat022,lo_A_model_1_unrelaxed_repeat023,lo_A_model_1_unrelaxed_repeat024,lo_A_model_1_unrelaxed_repeat025,lo_A_model_1_unrelaxed_repeat026,lo_A_model_1_unrelaxed_repeat027,lo_A_model_1_unrelaxed_repeat028,lo_A_model_1_unrelaxed_repeat029,lo_A_model_1_unrelaxed_repeat030,lo_A_model_1_unrelaxed_repeat031,lo_A_model_1_unrelaxed_repeat032,lo_A_model_1_unrelaxed_repeat033,lo_A_model_1_unrelaxed_repeat034,lo_A_model_1_unrelaxed_repeat035,lo_A_model_1_unrelaxed_repeat036,lo_A_model_1_unrelaxed_repeat037,lo_A_model_1_unrelaxed_repeat038,lo_A_model_1_unrelaxed_repeat039,lo_A_model_1_unrelaxed_repeat040,lo_A_model_1_unrelaxed_repeat041,lo_A_model_1_unrelaxed_repeat042,lo_A_model_1_unrelaxed_repeat043,lo_A_model_1_unrelaxed_repeat044,lo_A_model_1_unrelaxed_repeat045,lo_A_model_1_unrelaxed_repeat046,lo_A_model_1_unrelaxed_repeat047,lo_A_model_1_unrelaxed_repeat048,lo_A_model_1_unrelaxed_repeat049,lo_A_model_1_unrelaxed_repeat050,lo_A_model_1_unrelaxed_repeat051,lo_A_model_1_unrelaxed_repeat052,lo_A_model_1_unrelaxed_repeat053,lo_A_model_1_unrelaxed_repeat054,lo_A_model_1_unrelaxed_repeat055,lo_A_model_1_unrelaxed_repeat056,lo_A_model_1_unrelaxed_repeat057,lo_A_model_1_unrelaxed_repeat058,lo_A_model_1_unrelaxed_repeat059,lo_A_model_1_unrelaxed_repeat060,lo_A_model_1_unrelaxed_repeat061,lo_A_model_1_unrelaxed_repeat062,lo_A_model_1_unrelaxed_repeat063,lo_A_model_1_unrelaxed_repeat064,lo_A_model_1_unrelaxed_repeat065,lo_A_model_1_unrelaxed_repeat066,lo_A_model_1_unrelaxed_repeat067,lo_A_model_1_unrelaxed_repeat068,lo_A_model_1_unrelaxed_repeat069,lo_A_model_1_unrelaxed_repeat070,lo_A_model_1_unrelaxed_repeat071,lo_A_model_1_unrelaxed_repeat072,lo_A_model_1_unrelaxed_repeat073,lo_A_model_1_unrelaxed_repeat074,lo_A_model_1_unrelaxed_repeat075,lo_A_model_1_unrelaxed_repeat076,lo_A_model_1_unrelaxed_repeat077,lo_A_model_1_unrelaxed_repeat078,lo_A_model_1_unrelaxed_repeat079,lo_A_model_1_unrelaxed_repeat080,lo_A_model_1_unrelaxed_repeat081,lo_A_model_1_unrelaxed_repeat082,lo_A_model_1_unrelaxed_repeat083,lo_A_model_1_unrelaxed_repeat084,lo_A_model_1_unrelaxed_repeat085,lo_A_model_1_unrelaxed_repeat086,lo_A_model_1_unrelaxed_repeat087,lo_A_model_1_unrelaxed_repeat088,lo_A_model_1_unrelaxed_repeat089,lo_A_model_1_unrelaxed_repeat090,lo_A_model_1_unrelaxed_repeat091,lo_A_model_1_unrelaxed_repeat092,lo_A_model_1_unrelaxed_repeat093,lo_A_model_1_unrelaxed_repeat094,lo_A_model_1_unrelaxed_repeat095,lo_A_model_1_unrelaxed_repeat096,lo_A_model_1_unrelaxed_repeat097,lo_A_model_1_unrelaxed_repeat098,lo_A_model_1_unrelaxed_repeat099,lo_A_model_1_unrelaxed_repeat100
lo_A_model_1_unrelaxed_repeat001,0.0,0.2626231164378978,0.2752269449829271,0.31199757894955893,0.25286144967644825,0.2548452923498964,0.26374153906382275,0.25537708100964573,0.2992992292210311,0.25203168726907477,0.26094227843576895,0.3125176275428888,0.32146494968653594,0.2766172112234963,0.23214685056855375,0.2715427761073384,0.31107078899404733,0.2898344453691808,0.3021980989138159,0.2575933515523033,0.3000477310622323,0.2753122300849251,0.276463565419192,0.280855121775897,0.27631133567104105,0.28331796642666884,0.2732618630172993,0.342149102853845,0.27106292128606846,0.2962841886733021,0.3020179626866715,0.2614485345045247,0.2714247367074519,0.28100595913627907,0.29221736280458,0.28420820915597284,0.2511187557126556,0.26467417278538535,0.3093352510916824,0.3225825686407188,0.2825762839007831,0.2575156980922687,0.2906837187054992,0.3161465497448829,0.29783035180272616,0.2964358620591229,0.2896685491788932,0.26809335806937773,0.26239493435216443,0.34858922704690926,0.27355493651260415,0.332405418044948,0.2808306196088155,0.26091480968182285,0.2830633570272906,0.2712996326960312,0.2690641333741519,0.282323285912162,0.28302484257826566,0.27664503423021103,0.24972413964762552,0.2562144912415661,0.2311913537744996,0.2897010940456961,0.2613129608712766,0.34920207430389094,0.3058801882379918,0.30952374695404106,0.2697382294862038,0.30089066641065354,0.30376257575949966,0.3225066345482072,0.3275173880650897,0.3023501650695706,0.2630451692908796,0.23781065068537016,0.26849967298301974,0.2610214336816073,0.27541457890209237,0.28422743718983595,0.28109081411473635,0.2894302033864674,0.3405288741987823,0.269216581870843,0.3415298410562432,0.26210619346432945,0.3409763394893543,0.26648831661039596,0.2897003039253162,0.2616861797121898,0.32311962909536135,0.2895399142530035,0.3425478883221898,0.2560207766068281,0.28745516537888877,0.30031523733231186,0.2339765709753417,0.26567445954576746,0.2885228027822444,0.2937080777013292
lo_A_model_1_unrelaxed_repeat002,0.2626231164378978,0.0,0.2628490866375778,0.3269462031320891,0.22782770891603257,0.2521596560348554,0.18813572247590504,0.2432679866006233,0.23872928982373004,0.2047856620517517,0.24511904789200892,0.3250732502463884,0.25977474560652664,0.23335955299241196,0.2530173844870084,0.1999367568104756,0.27010753964982087,0.2248221042085776,0.2407737883727836,0.2590199974604399,0.24237994978385607,0.25804015391028373,0.2573090080195628,0.24214840741995988,0.21289986362449947,0.25652330500089787,0.2497676745963086,0.3545251312241882,0.24685964689406775,0.2541779647574517,0.25548596012815206,0.2818136642265209,0.2848811212047652,0.2200763945914378,0.23097268973812485,0.25509565094330006,0.2543389422954224,0.2681754704958668,0.25805395849233204,0.3115805386184761,0.29085892238759836,0.23856047781155343,0.2289991909825718,0.29729404335057075,0.2876197020198472,0.2744528696924181,0.24552690705643268,0.24542608419645562,0.26509927419520957,0.35019549006082495,0.2672703110527677,0.3413229332732488,0.2365430574456817,0.28082190834407594,0.23288493600739882,0.25285556559611805,0.23929211292389527,0.2506753681562792,0.24519409263176886,0.2558091317254055,0.20926549113431306,0.25575101894418156,0.2413472557417574,0.3091793558856502,0.26680920725458973,0.3439826907845372,0.3050536199026931,0.30046582813519257,0.21643925558706859,0.257627449465636,0.24977408963144282,0.3342249163463488,0.321943179127237,0.31254271238862524,0.24811529923956363,0.26245926177515505,0.2485435112150302,0.2296251221220908,0.265549771178245,0.3062212819737052,0.20466896402600776,0.2750404314146058,0.3226998942444055,0.28409090003901666,0.34180849493583454,0.2277989475722429,0.3576156935359985,0.2518728134656262,0.2758032098916766,0.24422877944579982,0.30666394537574704,0.2847572065227967,0.3395591267691771,0.219646484079592,0.29600786827882747,0.3056253234607473,0.24345404339348153,0.26694659842214874,0.2905955603330248,0.26017805062255167
lo_A_model_1_unrelaxed_repeat003,0.2752269449829271,0.2628490866375778,0.0,0.31214528366065053,0.25033396863233726,0.27728156155374345,0.2520863444055734,0.27565554587453467,0.26142888971512385,0.2384090688714917,0.25925070858120514,0.3405067753974352,0.27033550923555727,0.25165216587467204,0.27656285002564274,0.24971382762705494,0.3160271986266639,0.24704317242435145,0.28717692552191143,0.3005152466145146,0.23014152515851846,0.25976488764389744,0.2611981855442656,0.22932032434740338,0.274285389629551,0.2925466104970364,0.3001971693510936,0.35458964979605545,0.2965827789644143,0.26364019353127366,0.28594070836126184,0.28965842446100254,0.3059565548370921,0.2506723434051147,0.22747535199528565,0.29495665402552657,0.30055375692402264,0.28441733224984755,0.2711232397984324,0.3510384349791601,0.32408908328664726,0.2469370593934005,0.25603988646710635,0.3175467928750597,0.30770008436304386,0.29995087819109795,0.2540545039693736,0.2532918044418826,0.29290064328768634,0.3728786828986459,0.2713313227315987,0.3613622691379238,0.30470328445779926,0.31452737211752935,0.24282363770271972,0.28380543013574466,0.24216754861518705,0.25409831042154607,0.25333438746862985,0.27378970240769124,0.26483611689607106,0.29794983783436124,0.2710431288234465,0.3087788028186199,0.2934156796888461,0.3669633342694338,0.3352500828124448,0.3452728804085786,0.25823296310345484,0.2751148024124434,0.25503389771609425,0.3627290455905364,0.3372856390197843,0.3427495488237499,0.28981386162844,0.29655364261304773,0.29305143171617726,0.2571003711750901,0.3036260123322883,0.31411287074090577,0.24541256029315686,0.32279741140936896,0.35842490429261104,0.3138534781111413,0.36192530785956617,0.27008974294070104,0.35773540625297545,0.2623737791777219,0.29694866923464885,0.28746019193209454,0.3530715417459245,0.3129615789972776,0.36075639817873717,0.2219049404026582,0.3120508102128665,0.3211041394678755,0.274111753157146,0.30727195039922844,0.32178690111342806,0.2835771903553645
lo_A_model_1_unrelaxed_repeat004,0.31199757894955893,0.3269462031320891,0.31214528366065053,0.0,0.3192359888783467,0.3036855632330354,0.32810087774946806,0.2952065303564489,0.3423257991879951,0.2998078068197073,0.30502693424542776,0.3246890445942736,0.35490767301685305,0.31169167847737894,0.3213788693775672,0.32889997435853835,0.3361102074182785,0.32300874523654105,0.3310057937246055,0.323032483960744,0.3313900579820216,0.3428550914510467,0.3255500462571396,0.3066846110318821,0.31353816395697465,0.3088816876988796,0.33039638914916125,0.34233628857868026,0.31946759178850576,0.31401375000648146,0.3529927232407833,0.31514689900778065,0.3161555999444764,0.3283521958518687,0.32456794214786544,0.33450631955983273,0.30370770339046793,0.32408082850558145,0.3294889613925514,0.3357244424934736,0.3193270373698758,0.3352593000697547,0.3527471180996535,0.3334179434819988,0.2957756467160064,0.3295936718978061,0.3314986130771937,0.30494578424774477,0.33785539228258676,0.3560010769783263,0.3100233504519699,0.3614199068536488,0.32048635251118374,0.3082929602767847,0.32456463631664084,0.3020400829874147,0.31702818006099975,0.32816819373036715,0.33966018531444003,0.3173053569615699,0.3139921087369396,0.3029976604866314,0.2908090436299024,0.324879332721792,0.3021580937040146,0.36541234278211066,0.31093932173749766,0.33145981356937515,0.33319526468167987,0.318943669599637,0.3266456739043096,0.36443948378167784,0.34177898638810533,0.34723819400557276,0.29697275685132146,0.3100997578195021,0.30716964412489867,0.31882366045571425,0.29866412156589817,0.3048087653018923,0.33264995757934396,0.330717086238655,0.3630231905951344,0.3299233448057026,0.35769385332133213,0.3305570362589711,0.38643874936400247,0.307897108577967,0.33258337666222254,0.33515490834748857,0.31098808794560434,0.27843924295466577,0.34781048232707873,0.3257878312886115,0.27533322248661546,0.3201856578734725,0.31749651074423474,0.31473225899132967,0.2968469015766874,0.333378079972287
lo_A_model_1_unrelaxed_repeat005,0.25286144967644825,0.22782770891603257,0.25033396863233726,0.3192359888783467,0.0,0.24492934954001414,0.2056405603406697,0.239905739715618,0.21454766603585,0.21655661340565932,0.2421324552680505,0.3057469570032353,0.25285539586099975,0.22617469541689267,0.25735431730435987,0.20968318632310373,0.2692610031916451,0.23701040945853505,0.2624487960142466,0.2590822914877006,0.2451750126712355,0.23856821364297706,0.25945408738751585,0.24210373874588417,0.25402972576782556,0.25007998720409436,0.24038756260986285,0.336885253194233,0.2647675580574665,0.255712922458851,0.2546841854822634,0.2611854783046968,0.27328248942656697,0.2226525613823671,0.22586410134122267,0.26004869137992603,0.2609671677835053,0.27656078088220415,0.2695635745866267,0.32656529623317704,0.28858968401947543,0.2391986502418844,0.24781448135123574,0.2863413331749475,0.28154885330155766,0.2822334284851928,0.2303817196888888,0.2497915010391993,0.2461688709374075,0.3519713946628962,0.24210190691800287,0.3399420972322674,0.2469857194993746,0.2848224605761296,0.19752944765162614,0.2594308175026632,0.22712244842998186,0.24521439628019703,0.26800961911292087,0.250070834028028,0.20785944959716973,0.22508176864221432,0.2377515684439704,0.2983103586872958,0.25804608609024665,0.37083970755319634,0.31110348617946826,0.30526594329754353,0.1989891478770094,0.24032119660850126,0.2577194468889009,0.3446083800813869,0.3122914067770375,0.3306391694460291,0.2659700844773898,0.2529774625663788,0.24275369456133095,0.2492735654727366,0.2459312394451955,0.3035139458205871,0.20523380714128286,0.29240745084632075,0.34195081174606257,0.29149891354023244,0.33233698016231183,0.21402632437397923,0.36419107060503364,0.26802445813277503,0.24655764516462944,0.24540404917882253,0.3112599803916642,0.278147921247707,0.34228396379922016,0.22884720743122494,0.2741198426343743,0.26938052179430966,0.2528862857760766,0.24849371687177452,0.25158860076389544,0.27110081322249824
lo_A_model_1_unrelaxed_repeat006,0.2548452923498964,0.2521596560348554,0.27728156155374345,0.3036855632330354,0.24492934954001414,0.0,0.23231551974697595,0.23566428195874356,0.25603295791065783,0.19265170155383515,0.248809181067924,0.29659942013242346,0.2829953213947723,0.2530539646258788,0.25429652748567616,0.23371552594391093,0.281775842078108,0.271350725119521,0.2549726345101962,0.24476043000714356,0.2727592281968176,0.25051591972806037,0.27406373328088657,0.2404561116522125,0.24785211798394485,0.2384574294011905,0.22753081509299186,0.34423625317089823,0.23197873712438705,0.24170975394099137,0.2743063041525916,0.26400665444424704,0.2609703473089137,0.2617737996334527,0.26999592006666806,0.23604278121489414,0.22129518605367204,0.25718577088151645,0.2642133030865346,0.3111770537785254,0.274998764465946,0.2810285115792663,0.27063439485686624,0.29537260966577883,0.28259921726106485,0.28591058758213095,0.26129352489421775,0.2410464192884604,0.25547705663401665,0.32928912899168566,0.22425690356883834,0.32488157851319394,0.252220127759313,0.2696626409315222,0.25289313083260606,0.23919518131423237,0.2597042446836861,0.25564499481947967,0.26897043144179567,0.260278545631725,0.19784330731396257,0.25108223550116654,0.24431990801714257,0.31383273749636686,0.22784886942036237,0.3346697815174597,0.3081284591746792,0.2978049404333229,0.2483364969889984,0.2446589989170089,0.26627601930128,0.33951404301991,0.31596268409359357,0.29922231102695035,0.1888584788559025,0.22487624954821858,0.23829875095502262,0.24260596404690918,0.2560165856572902,0.3043055369192514,0.24478433473024291,0.2728877522386969,0.33588931346693296,0.26310112722554685,0.3460255847380019,0.23378309402108513,0.35129289101684075,0.2532714140125905,0.21992325361843235,0.22936342834107615,0.2973750203331961,0.26439387317347923,0.34091163652754003,0.2565327298569127,0.2778277685107285,0.2767896377694402,0.25066172795183495,0.2591169112132224,0.27064274685175305,0.2571079943212966
lo_A_model_1_unrelaxed_repeat007,0.26374153906382275,0.18813572247590504,0.2520863444055734,0.32810087774946806,0.2056405603406697,0.23231551974697595,0.0,0.222162605260124,0.21933388557618186,0.18847547397962816,0.23117514061123384,0.3103684183010311,0.24186512989402836,0.24678221011140128,0.24045944339926756,0.19741498233507418,0.2520740858919351,0.20290437644361292,0.25569792845301764,0.26465417281314607,0.2354259525052805,0.234498887381409,0.2518536714381612,0.2291869063763534,0.22706329432129724,0.24610336639873437,0.23396990623650826,0.3495459961628461,0.26534049709597973,0.24655985004994702,0.2386555691508063,0.2693094544578262,0.2792822908763439,0.206066922474014,0.2253608138596018,0.24442803517125936,0.24484201206630216,0.2741673308800456,0.24089948277475504,0.31502553431035557,0.28901059576340676,0.24868478073994357,0.23637794958513267,0.2879833189414885,0.28041105123334764,0.2651654813035894,0.228753667387755,0.23375029166935357,0.24821364649461086,0.36178321665220464,0.2476923538301551,0.33258191414106375,0.23883497633878248,0.2881501853679967,0.21056800355270425,0.25052859710724934,0.2346947611287639,0.23999845016190094,0.24208654265464205,0.2591848120737945,0.18701242757814124,0.2362376170956784,0.24408551703868064,0.2932118522021524,0.23269399432053875,0.35446104487221547,0.3101858780956301,0.3089287874383909,0.19607850753175327,0.2259766278570091,0.24875357381635577,0.34670342052332725,0.3198564592226297,0.3173014795087258,0.24499691977859933,0.24972494167582232,0.2239434580181509,0.2193971451412651,0.26505944484020666,0.29391151238112023,0.186996056203775,0.2773469238443999,0.34180640221496134,0.2792162031936795,0.3327643785272022,0.19263469545783926,0.3631709419091928,0.2593321454419285,0.2533868439833897,0.24008462980930784,0.31536721561807163,0.2755645006008871,0.3419353317537889,0.2189142802301808,0.2863264941117553,0.2801237208780602,0.2569138397012565,0.25132888586434715,0.2687961292213976,0.24637248048763663
lo_A_model_1_unrelaxed_repeat008,0.25537708100964573,0.2432679866006233,0.27565554587453467,0.2952065303564489,0.239905739715618,0.23566428195874356,0.222162605260124,0.0,0.26521673054897976,0.19757202920426586,0.25176458790966194,0.3060108837022076,0.30792326673608944,0.24844938287549845,0.2528701623900726,0.2560717330651008,0.2821760933167177,0.25001092966094196,0.2930690544434692,0.22307667869584333,0.2832782240438779,0.2726595030032303,0.27347464855972314,0.2634924457278632,0.23148392356047706,0.22520122936008424,0.23376559184647017,0.33332250340060676,0.24551210675578175,0.27971454895737247,0.28364604471741545,0.24285067855452244,0.2526120482561697,0.27409030183906863,0.2642661445132699,0.22170015451541802,0.22474471290771536,0.25833703906151934,0.2939595993768673,0.3037597499568505,0.28086831436512405,0.2818019881317757,0.27715584931021564,0.2790313820347613,0.258645586356924,0.2721235308143892,0.25459878953711174,0.22672981532197534,0.2636140370219717,0.33320045992614244,0.2486939274045448,0.32172741018816,0.2681585058565795,0.2602114799661069,0.2575860204667834,0.24527605538992078,0.25389266992130965,0.28481452439214017,0.26548274382250353,0.26764944082879316,0.22762975987831727,0.22357576575493185,0.237632577257334,0.26988976714421004,0.23992965111073142,0.3370440384193861,0.28502792072655847,0.2963474838553731,0.25410906380728115,0.23740496178434925,0.2865826473007491,0.3473703378891287,0.3088018286617414,0.27719471472458607,0.22170086433637654,0.21958948563887878,0.23150264878581794,0.2444544888906106,0.2231216300643555,0.2712931993250107,0.2505304815277675,0.24668677179016263,0.3218396245335331,0.2880843442699512,0.3270126631052495,0.2334538213336397,0.3550306763025976,0.2223797677111556,0.2735897642171693,0.2514500436737272,0.3079766447864279,0.2524541630373859,0.32206993260445743,0.26091075217564025,0.26722700428078233,0.29064075037696496,0.21731374706586198,0.2374067695937229,0.25619706962326466,0.29164650247077106
lo_A_model_1_unrelaxed_repeat009,0.2992992292210311,0.23872928982373004,0.26142888971512385,0.3423257991879951,0.21454766603585,0.25603295791065783,0.21933388557618186,0.26521673054897976,0.0,0.23922352935216917,0.2540338931798672,0.31976730631191796,0.2732801336971526,0.25520425772635436,0.27235186153336033,0.22381290725403888,0.26638844570612,0.24248841100281965,0.2540688629573949,0.28251567619538803,0.25454984250161417,0.24603086678420363,0.26644536597060625,0.2537441515002875,0.2672837459674065,0.2543817999446138,0.2693805749018994,0.34847844209732803,0.27007883128319427,0.2632296385902087,0.26409252941262723,0.29753998541112914,0.28363222474312133,0.23501133811262778,0.23379882038200528,0.24678139851946246,0.2664781701463006,0.28482376650926877,0.2673325020768456,0.3146886646368596,0.298274340600012,0.2574951421128776,0.2435780610335858,0.2949814377904406,0.28745984355995463,0.2889010305214185,0.25946406743320793,0.2568117494938882,0.2707474949257771,0.34872668442375404,0.2771641080215716,0.33399712162415246,0.2646442803763354,0.3150146804944789,0.2219842884540656,0.272237904037718,0.24915508152453822,0.24859237480781549,0.2713199864552398,0.2800018393563129,0.23020541924566315,0.2665657713276232,0.28310540356534525,0.308399115281078,0.27224021623594585,0.36253186925176106,0.32172825505407987,0.3024078383827172,0.23627128511876727,0.24138767873468878,0.26296972415584974,0.34256918727268737,0.32341781708232265,0.33223627767901653,0.2780665413720521,0.2845560757195292,0.253976106476464,0.25151307499922365,0.28128679381008975,0.3098387600423914,0.2159529567804135,0.2819228884313213,0.3416041849425197,0.30180378091491006,0.32155683523019973,0.23110662434660165,0.3807100135919899,0.28305163139822387,0.28821918816967157,0.2588544147034099,0.31498257099181265,0.27322961150076386,0.3362187277712959,0.23577219188526144,0.2917683738466357,0.29446073501151104,0.2792323935608723,0.2698415261096069,0.28074828481711855,0.27338444687653946
lo_A_model_1_unrelaxed_repeat010,0.25203168726907477,0.2047856620517517,0.2384090688714917,0.2998078068197073,0.21655661340565932,0.19265170155383515,0.18847547397962816,0.19757202920426586,0.23922352935216917,0.0,0.21905382436407372,0.3092356167498606,0.25503659026661485,0.22350203949743636,0.24203571545052616,0.1974837419287478,0.27409860072327064,0.2183161598155843,0.24828233962904775,0.22755583823226957,0.24593007601548914,0.23941033904886128,0.25358900207668494,0.2198302765788082,0.20978959416458787,0.22769184556744956,0.23070068054889317,0.33298734547436754,0.23436530428204605,0.22927708745667985,0.2578317203027539,0.250878399603666,0.26107097571996823,0.23173951880930566,0.23426273109841464,0.24403915115435337,0.20573869839475356,0.24344258428938342,0.2687275691807006,0.3064892346068616,0.2644992028838277,0.23857115199382842,0.2482931720460561,0.28462569853924935,0.2505530363702159,0.26018761801154877,0.24593141395917673,0.22242691812273846,0.22891889974605462,0.32990521897206654,0.2373694656715355,0.31243599630687396,0.2511385234087239,0.26934286587756806,0.20953105212014544,0.24197086571928134,0.2220071014085419,0.2402500485679657,0.24377027812646496,0.2479989731853772,0.19550967836596722,0.23790670320054863,0.23018055984108513,0.29440651000452966,0.23152755160687857,0.3352603668655812,0.2895156529528603,0.29547081800381825,0.21370175626201734,0.22515294436181058,0.26613425033027127,0.3389621878718435,0.3113571290376617,0.29608059645884893,0.21704228473259685,0.22380606769489728,0.22389509346016603,0.2185829640210529,0.2345118815832571,0.29543503482104805,0.22271237312841902,0.26474664651009366,0.3322176751634192,0.27778173006248863,0.3302226673235896,0.20609149738229404,0.3398143901345104,0.2266860843319607,0.24289939161968513,0.2207822612144209,0.2983486740886778,0.2564887256402192,0.3352785445447498,0.23609338372116628,0.2683167474592219,0.27942209931414086,0.24039012164927287,0.2537219367203089,0.266342256175945,0.2538291022748564
