Measure name,Measure abbreviation / notation,Description,How and when it is used,Range of values and meaning,Known limitations,Reference
Data loading time,perf/data_time_s,Implementation-level logging field for the time spent loading and preparing a training batch before model computation.,Recorded during training to monitor data pipeline efficiency and identify I/O bottlenecks.,Measured in seconds; lower values indicate faster data preparation.,Reflects system efficiency rather than model quality. Can vary with storage speed and preprocessing load.,R2a
Distogram loss,train/distogram,OpenFold implements distogram loss by binning pseudo-beta pair distances and applying softmax cross-entropy to the predicted distogram logits.,Used during each training step as one component of the total loss to supervise pairwise spatial relationships.,Non-negative real value; lower is better.,Does not directly represent final 3D structure quality on its own.,R1; R2b
Experimentally resolved loss,train/experimentally_resolved,"Auxiliary loss for the experimentally resolved head, which predicts whether atom-level positions are resolved in the experimental structure; in OpenFold config this head has c_out = 37, consistent with the atom37 representation.",Used during training as an auxiliary supervision signal.,Non-negative real value; lower is better.,Less intuitive than geometric metrics and contributes indirectly to structural quality.,R1; R2c
Frame Aligned Point Error,train/fape,"OpenFold computes FAPE with compute_fape(...), comparing predicted and target positions in local rigid frames, with normalization and optional clamping.",One of the main structure-learning losses during training.,Non-negative real value; lower is better.,Harder to interpret directly than RMSD or lDDT for non-experts.,R1; R2b
Predicted lDDT loss,train/plddt_loss,Confidence-head training loss associated with local confidence prediction; conceptually linked to pLDDT but implemented as a loss term in AlphaFold/OpenFold training rather than the final pLDDT score itself.,Used during training to help the model learn confidence estimation.,Non-negative real value; lower is better.,"This is a training loss, not the predicted pLDDT score itself.",R1; R2b
Masked MSA loss,train/masked_msa,Auxiliary self-supervised loss for predicting masked tokens in the MSA representation.,Used during training to improve evolutionary representation learning from MSAs.,Non-negative real value; lower is better.,More related to internal representation learning than direct structure accuracy.,R1; R2b
Supervised chi loss,train/supervised_chi,OpenFold explicitly defines this as implementing Algorithm 27 (torsionAngleLoss) for supervising side-chain torsion angles and angle normalization.,Used during training to improve side-chain geometry.,Non-negative real value; lower is better.,Good side-chain loss does not necessarily imply correct global folding.,R1; R2b
Violation loss,train/violation,"Geometry-based penalty for structural violations such as bond or angle inconsistencies and clashes, following AlphaFold-style structural-violation terms.",Used during training to encourage chemically and geometrically valid predictions.,Non-negative real value; lower is better.,Can be numerically large and should be interpreted together with the total loss.,R1; R2b
Unscaled loss,train/unscaled_loss,"Implementation-level aggregate recorded in loss_breakdown, representing the raw combined objective magnitude before the final logged total loss is reported.",Used for internal monitoring of the raw magnitude of training objectives.,Non-negative real value; lower is better.,Not always directly comparable across different configurations or implementations.,R2a
Total training loss,train/loss,Final aggregate loss returned by self.loss(...) and logged from the loss_breakdown or training step output.,Main optimization target during each training step.,Non-negative real value; lower is better.,"Aggregates multiple objectives, so improvements do not indicate which subcomponent changed.",R1; R2a
Training epoch,epoch,Implementation-level progress field indicating the current training epoch written through the training logger.,Used to track training progress at a coarse level.,Integer starting from 0; larger values indicate later training stages.,Epoch counts are not always directly comparable across datasets of different sizes.,R2a
Training step,step,Implementation-level progress field indicating the current optimization step.,Used to track fine-grained training progress.,Non-negative integer; larger values indicate more updates have been performed.,Step count depends on batch size and logging frequency.,R2a
Global training step,global_step,Implementation-level progress field indicating the cumulative number of optimization updates across epochs.,Used in epoch summary logs to reference model progress precisely.,Non-negative integer; larger values indicate later training progress.,"Like step count, it depends on batch configuration and logging schedule.",R2a
Model computation time,perf/compute_time_s,Implementation-level logging field for the time spent on forward and backward computation and parameter update for a training step.,Used during training to monitor computational efficiency.,Measured in seconds; lower values indicate faster computation.,"Depends heavily on hardware, sequence length, and batch properties.",R2a
Distogram loss (epoch average),train/distogram_epoch,Mean distogram loss across all training steps within one epoch.,Used in epoch-level summaries to track the average trend of distogram supervision.,Non-negative real value; lower is better.,Averages may hide high variance within the epoch.,R1; R2a; R2b
Experimentally resolved loss (epoch average),train/experimentally_resolved_epoch,Mean experimentally-resolved loss over one epoch.,Used in epoch summaries to assess the average auxiliary supervision trend.,Non-negative real value; lower is better.,More indirect than geometric quality metrics.,R1; R2a; R2c
FAPE (epoch average),train/fape_epoch,Mean FAPE across all training steps within one epoch.,Used to monitor epoch-level changes in geometric learning quality.,Non-negative real value; lower is better.,Averaging may conceal step-level instabilities.,R1; R2a; R2b
Predicted lDDT loss (epoch average),train/plddt_loss_epoch,Mean pLDDT-related confidence loss over one epoch.,Used to summarize confidence-prediction learning across an epoch.,Non-negative real value; lower is better.,Does not equal the actual predicted pLDDT score.,R1; R2a; R2b
Masked MSA loss (epoch average),train/masked_msa_epoch,Mean masked MSA loss over one epoch.,Used to summarize sequence-evolution learning over an epoch.,Non-negative real value; lower is better.,Less directly tied to 3D structure quality.,R1; R2a; R2b
Supervised chi loss (epoch average),train/supervised_chi_epoch,Mean supervised chi-angle loss over one epoch.,Used to summarize side-chain learning quality across an epoch.,Non-negative real value; lower is better.,Does not by itself guarantee correct global structure.,R1; R2a; R2b
Violation loss (epoch average),train/violation_epoch,Mean structural violation penalty over one epoch.,Used to summarize geometric validity across the epoch.,Non-negative real value; lower is better.,Can dominate numerically and should be interpreted together with other metrics.,R1; R2a; R2b
Unscaled loss (epoch average),train/unscaled_loss_epoch,Mean raw combined loss over one epoch before final scaling.,Used to track average raw objective magnitude at epoch level.,Non-negative real value; lower is better.,Limited interpretability without knowing the weighting scheme.,R2a
Total loss (epoch average),train/loss_epoch,Mean total training loss over one epoch.,Main epoch-level convergence metric.,Non-negative real value; lower is better.,Does not indicate which specific component is improving or worsening.,R1; R2a
Local Distance Difference Test on Cα,train/lddt_ca,"In OpenFold training, lddt_ca is computed by calling lddt_ca(...) on predicted and ground-truth coordinates with per_residue=False, then stored as metrics['lddt_ca'].",Used in epoch summaries to evaluate how well the predicted structure matches the ground truth.,Usually between 0 and 1; higher is better. Values closer to 1 indicate better local structural agreement.,Focuses on local geometry and may not fully reflect global topology correctness.,R2a; R4
Distance RMSD on Cα,train/drmsd_ca,"In OpenFold training, drmsd_ca is computed by applying drmsd(...) to masked Cα coordinates from prediction and ground truth; it is an implementation-specific Cα distance error metric, not exactly the same as standard superposition-based RMSD.",Used in epoch summaries as a structural error metric.,Non-negative real value; lower is better.,Not identical to standard RMSD; sensitive to structural scale and implementation details.,R2a

Reference key,Citation / Link,,,,,
R1,"Jumper et al. (2021), Nature, Highly accurate protein structure prediction with AlphaFold — https://www.nature.com/articles/s41586-021-03819-2",,,,,
R2a,"OpenFold train_openfold.py (logging, loss_breakdown, lddt_ca, drmsd_ca) — https://github.com/aqlaboratory/openfold/blob/main/train_openfold.py",,,,,
R2b,"OpenFold loss.py (distogram, FAPE, supervised_chi, violation, etc.) — https://github.com/aqlaboratory/openfold/blob/main/openfold/utils/loss.py",,,,,
R2c,"OpenFold config.py (experimentally_resolved head, c_out=37) — https://github.com/aqlaboratory/openfold/blob/main/openfold/config.py",,,,,
